jp_date,_1,_2,kr_date,_3,_4,kind,story
2021-02-04,,,2021-11-09,,,메인스토리,프롤로그 1~2
2021-02-04,,,2021-11-09,,,메인스토리,Vol.1 대책위원회 편 1장 대책위원회의 기묘한 하루 1~20
2021-03-11,,,2021-11-16,,,메인스토리,Vol.1 대책위원회 편 2장 잃은 것과 놓지 않은 것 전반 1~10
2021-03-18,,,,,,메인스토리,Vol.1 대책위원회 편 2장 잃은 것과 놓지 않은 것 후반 11~20
2021-03-25,,,2021-12-14,,,메인스토리,Vol.2 태엽감는 꽃의 파반느 편 1장 레트로의 로망 1~20
2021-05-27,,,2022-01-25,,,메인스토리,"Vol.3 에덴조약 편 1장 보충수업, 시작합니다! 전반 1~9"
2021-10-12,,,2022-04-05,,,메인스토리,"Vol.3 에덴조약 편 1장 보충수업, 시작합니다! 후반 10~17"
2021-10-27,,,2022-05-17,,,메인스토리,Vol.3 에덴조약 편 2장 증명 불가능한 문제 전반 1~9
2021-11-09,,,2022-06-21,,,메인스토리,Ex. 데카그라마톤 편 1장 지혜의 뱀 이벤트 1차 1~3
2021-11-17,,,2022-05-31,,,메인스토리,Vol.3 에덴조약 편 2장 증명 불가능한 문제 후반 10~20
2021-12-15,,,2022-07-26,,,메인스토리,Vol.3 에덴조약 편 3장 우리들의 이야기를 전반 1~9
2022-01-12,,,2022-08-23,,,메인스토리,Vol.3 에덴조약 편 3장 우리들의 이야기를 후반 10~25
2022-03-23,,,2022-11-08,,,메인스토리,"Vol.4 카르바노그의 토끼 편 1장 RABBIT 소대, 작전 개시! 전반 1~11"
2022-04-06,,,2022-11-15,,,메인스토리,"Vol.4 카르바노그의 토끼 편 1장 RABBIT 소대, 작전 개시! 후반 12~20"
2022-05-24,,,2022-12-20,,,메인스토리,Vol.3 에덴조약 편 4장 잊혀진 신들을 위한 키리에 전반 1~10
2022-06-08,,,2022-12-27,,,메인스토리,Vol.3 에덴조약 편 4장 잊혀진 신들을 위한 키리에 중반 11~16
2022-06-08,,,2023-01-03,,,메인스토리,Ex. 데카그라마톤 편 1장 지혜의 뱀 이벤트 2차 4~5
2022-07-06,,,2023-02-14,,,메인스토리,Ex. 데카그라마톤 편 1장 지혜의 뱀 이벤트 3차 6~8
2022-08-09,,,2023-02-14,,,메인스토리,Vol.3 에덴조약 편 4장 잊혀진 신들을 위한 키리에 후반 17~27
2022-11-16,,,2023-05-16,,,메인스토리,Ex. 데카그라마톤 편 1장 지혜의 뱀 이벤트 4차 9~13
